Date (YYYY-MM-DD),Action (Open / Close / Adjust / No Action),Ticker,Asset Name,"Type (Stock, ETF, Bond, FX, etc.)",Quantity (positive number),Price per Unit,Trade Currency,Gross Trade Value (=Qty*Price),Fees / Commission,Net Trade Value,Position After Trade (units),Brief Reason (or reason for no change),
2026-03-31,No Action,IBB,iShares Biotechnology ETF,ETF,120, $167.12 ,USD," $20,054.40 ",10," $20,064.40 ",120,Diversified healthcare exposure; sector tends to decouple from tech-driven corrections.,,,,
2026-03-31,No Action,SIEGY,Siemens AG � ADR,Stock,150, $126.70 ,USD," $19,005.00 ",10," $19,015.00 ",150,European industrial anchor; electrification and automation trends remain long-term tailwinds.,,,,
2026-03-31,No Action,CENX,Century Aluminum Co.,Stock,1150, $53.49 ,USD," $61,513.50 ",10," $61,523.50 ",1150,Momentum hold; aluminum supply shocks continue to drive price action. Avoiding profit-taking too early.,,,,
2026-03-31,No Action,AA,Alcoa Corp.,Stock,980, $62.99 ,USD," $61,730.20 ",10," $61,740.20 ",980,Direct play on domestic supply crunch; trade remains in 'active' status without reaching target sell-points.,,,,
2026-03-31,No Action,GLD,SPDR Gold Trust,ETF,350, $415.00 ,USD," $145,250.00 ",10," $145,260.00 ",350,Primary capital preservation tool; held to benefit from continued equity-to-gold rotation.,,,,
2026-03-31,No Action,SH,ProShares Short S&P500,ETF,2500, $39.01 ,USD," $97,525.00 ",10," $97,535.00 ",2500,Core index hedge; kept in place to offset daily drawdowns in the remaining long positions.,,,,
2026-03-31,No Action,PSQ,ProShares Short QQQ,ETF,4500, $33.31 ,USD," $149,895.00 ",10," $149,905.00 ",4500,High-conviction short; tech weakness persists and position provides the necessary negative correlation.,,,,
2026-03-31,Close,MU,Micron Technology Inc.,Stock,15, $318.23 ,USD," $-65,418.00 ",10," $-65,408.00 ",0,Exit residual: Loss-making position not worth carrying.,,,,
2026-03-31,Close,SIEGY,Siemens AG � ADR,Stock,150, $118.68 ,USD," $-71,027.70 ",10," $-71,017.70 ",0,Exit residual: No momentum/catalysts in industrial ADR.,,,,
2026-04-08,Close,PSQ,ProShares Short QQQ,ETF,4500, $30.47 ,USD," $-137,115.00 ",10," $-137,105.00 ",0,Exit Triage: Ceasefire confirmed; inverse thesis broken.,,,,
2026-04-08,Close,SH,ProShares Short S&P500,ETF,2500, $36.44 ,USD," $-91,100.00 ",10," $-91,090.00 ",0,Exit Triage: Index hedge no longer justified by macro.,,,,
2026-04-08,Close,AA,Alcoa Corp,Stock,980, $71.11 ,USD," $-69,687.80 ",10," $-69,677.80 ",0,Exit War-Hedge: Aluminum supply shock trade ended.,,,,
2026-04-08,Close,LMT,Lockheed Martin Corp.,Stock,120, $615.00 ,USD," $-73,800.00 ",10," $-73,790.00 ",0,Exit Defense: Rotating out as sector rally reverses.,,,,
2026-04-08,Adjust,XLP,Consumer Staples Select,ETF,100, $81.12 ,USD," $-8,112.00 ",10," $-8,102.00 ",340,Trimming staples to fund broader redeployment.,,,,
2026-04-08,Close,CENX,Century Aluminum Co.,Stock,1150, $61.50 ,USD," $-70,725.00 ",10," $-70,715.00 ",0,Exit War-Hedge: Geopolitical catalyst has evaporated.,,,,
2026-04-08,Close,XLP,Consumer Staples Select,ETF,340, $81.70 ,USD," $-27,778.00 ",10," $-27,768.00 ",0,Final exit: Consumer staples liquidation for relief rally.,,,,
2026-04-08,Close,ITA,iShares U.S. Aerospace & Def,ETF,100, $232.30 ,USD," $-23,230.00 ",10," $-23,220.00 ",0,Defense exit: Exit flat before sector bleeds on peace news.,,,,
2026-04-08,Open,SPY,SPDR S&P 500 ETF Trust,ETF,130, $675.13 ,USD," $87,766.90 ",10," $87,776.90 ",130,Re-deploy: Core U.S. beta for relief rally participation.,,,,
2026-04-08,Open,ESGU,iShares ESG Aware MSCI USA,ETF,330, $146.90 ,USD," $48,477.00 ",10," $48,487.00 ",330,Re-deploy: ESG broad market diversification sleeve.,,,,
2026-04-08,Open,JPM,JPMorgan Chase & Co.,Stock,110, $307.06 ,USD," $33,776.60 ",10," $33,786.60 ",110,Re-deploy: Top-tier finance single-name conviction.,,,,
2026-04-08,Open,CAT,Caterpillar Inc.,Stock,100, $766.00 ,USD," $76,600.00 ",10," $76,610.00 ",100,Re-deploy: Infrastructure cycle industrial leader.,,,,
2026-04-08,Open,XLI,Industrial Select Sector SPDR,ETF,270, $170.75 ,USD," $46,102.50 ",10," $46,112.50 ",270,Re-deploy: Real-economy recovery post-conflict.,,,,
2026-04-08,Open,XLF,Financial Select Sector SPDR,ETF,700, $51.25 ,USD," $35,875.00 ",10," $35,885.00 ",700,Re-deploy: Rate cut/reopening financial sector play.,,,,
2026-04-08,Adjust,XLU,Utilities Select Sector SPDR,ETF,400, $46.32 ,USD," $18,528.00 ",10," $18,538.00 ",1200,Ballast: Increasing utility weight for income/stability.,,,,
2026-04-08,Adjust,PLTR,Palantir Technologies Inc.,Stock,50, $147.10 ,USD," $7,355.00 ",10," $7,365.00 ",438,Momentum: Riding the 13% P/L intra-day growth.,,,,
2026-04-08,Adjust,GOOGL,Alphabet Inc � Class A,Stock,80, $316.65 ,USD," $25,332.00 ",10," $25,342.00 ",210,Re-deploy: Big tech/AI cloud recovery participation.,,,,
2026-04-08,Adjust,XOM,Exxon Mobil Corp,Stock,230, $154.89 ,USD," $35,624.70 ",10," $35,634.70 ",305,Building energy sleeve to core conviction level.,,,,
2026-04-08,Adjust,AMZN,Amazon.com Inc.,Stock,60, $221.03 ,USD," $13,261.80 ",10," $13,271.80 ",310,Quality growth: Chasing the relief rally move.,,,,
2026-04-08,Adjust,GLD,SPDR Gold Trust,ETF,100, $436.80 ,USD," $43,680.00 ",10," $43,690.00 ",450,Riding dollar weakness and rate-cut momentum.,,,,
2026-04-08,Adjust,SPY,SPDR S&P 500 ETF Trust,ETF,43, $674.64 ,USD," $29,009.52 ",10," $29,019.52 ",173,Capture remaining broad market beta/daily peak.,,,,
2026-04-11,No Action,XLU,Utilities Select Sector SPDR,ETF,1200, $45.74 ,USD," $54,888.00 ",0," $54,888.00 ",1200,Simulation freeze. Held to end. Maintaining overweight defensive ballast to counteract extreme beta in the newly deployed cyclical/growth sleeves.,,,,
2026-04-11,No Action,XLE,Energy Select Sector SPDR,ETF,60, $57.95 ,USD," $3,477.00 ",0," $3,477.00 ",60,Simulation freeze. Held to end. Inflation/geopolitical hedge sector remains fundamentally sound despite near-term volatility; held as macro anchor.,,,,
2026-04-11,No Action,CAT,Caterpillar Inc.,Stock,100, $766.00 ,USD," $76,600.00 ",0," $76,600.00 ",100,Simulation freeze. Held to end. Pure-play infrastructure and post-conflict recovery thesis; early momentum validates April 8th redeployment.,,,,
2026-04-11,No Action,JPM,JPMorgan Chase & Co.,Stock,110, $307.06 ,USD," $33,776.60 ",0," $33,776.60 ",110,Simulation freeze. Held to end. Best-in-class financial exposure positioned to capture reopening and rate-stabilization tailwinds.,,,,
2026-04-11,No Action,IBB,iShares Biotechnology ETF,ETF,120, $167.12 ,USD," $20,054.40 ",0," $20,054.40 ",120,Simulation freeze. Held to end. Maintained as a decoupled growth asset; provides idiosyncratic healthcare exposure insulated from broad market macro shocks.,,,,
2026-04-11,No Action,ORCL,Oracle Corp.,Stock,161, $155.76 ,USD," $25,077.36 ",0," $25,077.36 ",161,Simulation freeze. Held to end. Enterprise AI cloud transition remains intact; attractive valuation relative to SaaS peers provides downside cushion.,,,,
2026-04-11,No Action,SPY,SPDR S&P 500 ETF Trust,ETF,173, $675.01 ,USD," $116,776.73 ",0," $116,776.73 ",173,Simulation freeze. Held to end. Core beta anchor deployed on April 8th to fully capture broad market relief rally into the simulation close.,,,,
2026-04-11,No Action,XOM,Exxon Mobil Corp.,Stock,305, $156.09 ,USD," $47,607.45 ",0," $47,607.45 ",305,"Simulation freeze. Held to end. Right thesis, wrong horizon � Hormuz bottleneck thesis structurally valid but 2-day window insufficient for physical markets to validate.",,,,
2026-04-11,No Action,ESGU,iShares ESG Aware MSCI USA,ETF,330, $146.90 ,USD," $48,477.00 ",0," $48,477.00 ",330,Simulation freeze. Held to end. Diversified broad market sleeve fulfilling mandate requirements while maintaining correlated beta exposure.,,,,
2026-04-11,No Action,AMZN,Amazon.com Inc.,Stock,310, $204.77 ,USD," $63,478.70 ",0," $63,478.70 ",310,Simulation freeze. Held to end. High-conviction AI/Cloud core; successfully captured the massive +16% relief rally from local technical lows.,,,,
2026-04-11,No Action,NVDA,NVIDIA Corp,Stock,274, $184.04 ,USD," $50,426.96 ",0," $50,426.96 ",274,Simulation freeze. Held to end. Undisputed AI hardware leader; kept size constant to participate in flight-to-quality tech rebound.,,,,
2026-04-11,No Action,XLI,Industrial Select Sector SPDR,ETF,270, $170.75 ,USD," $46,102.50 ",0," $46,102.50 ",270,Simulation freeze. Held to end. Broad industrial sector exposure designed to capture real-economy momentum as geopolitical conflict cools.,,,,
2026-04-11,No Action,GOOGL,Alphabet Inc - Class A,Stock,210, $307.72 ,USD," $64,621.20 ",0," $64,621.20 ",210,Simulation freeze. Held to end. Search/AI dominance provides structural safety; core quality holding recovering well post-ceasefire.,,,,
2026-04-11,No Action,GLD,SPDR Gold Trust,ETF,450, $419.84 ,USD," $188,928.00 ",0," $188,928.00 ",450,Simulation freeze. Held to end. Dollar weakness and rate-cut thesis intact; non-correlated asset reducing portfolio volatility through close.,,,,
2026-04-11,No Action,PLTR,Palantir Technologies Inc.,Stock,438, $133.26 ,USD," $58,367.88 ",0," $58,367.88 ",438,Simulation freeze. Held to end. +10% P/L. Glasswing AI-security narrative validates core thesis through simulation close.,,,,
2026-04-11,No Action,XLF,Financial Select Sector SPDR,ETF,700, $51.25 ,USD," $35,875.00 ",0," $35,875.00 ",700,Simulation freeze. Held to end. Broad banking exposure executing on the rate-cut expectations and economic normalization trade,,,,
